"question_idx","sentence_idx","layer_idx","early_decoder","probe_output","probe_ans","sentence_text"
"0","0","0","probe_model_answer_correct","[0.41990516071062295, 0.5800948392893771]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","1","probe_model_answer_correct","[0.47120332209847754, 0.5287966779015224]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","2","probe_model_answer_correct","[0.49861886558577645, 0.5013811344142236]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","3","probe_model_answer_correct","[0.4736100226442076, 0.5263899773557924]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","4","probe_model_answer_correct","[0.4740747731341637, 0.5259252268658363]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","5","probe_model_answer_correct","[0.44858178904044166, 0.5514182109595582]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","6","probe_model_answer_correct","[0.5160660260155352, 0.48393397398446486]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","7","probe_model_answer_correct","[0.4798541168510393, 0.5201458831489606]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","8","probe_model_answer_correct","[0.5390445848606048, 0.46095541513939525]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","9","probe_model_answer_correct","[0.5506439160874205, 0.4493560839125794]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","10","probe_model_answer_correct","[0.47823943118927353, 0.5217605688107264]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","11","probe_model_answer_correct","[0.5944468601607821, 0.405553139839218]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","12","probe_model_answer_correct","[0.5270279241148318, 0.4729720758851681]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","13","probe_model_answer_correct","[0.5455876131424309, 0.4544123868575691]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","14","probe_model_answer_correct","[0.4816144062661583, 0.5183855937338417]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","15","probe_model_answer_correct","[0.501443739387678, 0.49855626061232206]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","16","probe_model_answer_correct","[0.4525624511381581, 0.5474375488618419]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","17","probe_model_answer_correct","[0.4959607050990333, 0.5040392949009668]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","18","probe_model_answer_correct","[0.5357405112122092, 0.46425948878779094]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","19","probe_model_answer_correct","[0.5603266035025826, 0.4396733964974175]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","20","probe_model_answer_correct","[0.5131553648874279, 0.48684463511257237]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","21","probe_model_answer_correct","[0.530562384124375, 0.46943761587562516]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","22","probe_model_answer_correct","[0.572642378728313, 0.42735762127168725]","0","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
"0","0","23","probe_model_answer_correct","[0.44258935453543685, 0.5574106454645632]","1","Okay, so I've got this question here about a disorder characterized by uncontrollable episodes of falling asleep during the day. The options are Dyslexia, Epilepsy, Hydrocephalus, and Narcolepsy. Hmm, let me think through each one.

"
