"question_idx","sentence_idx","layer_idx","early_decoder","probe_output","probe_ans","sentence_text"
"1","0","0","probe_model_answer_correct","[0.47768423591782455, 0.5223157640821755]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","1","probe_model_answer_correct","[0.5381106798772889, 0.4618893201227112]","0","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","2","probe_model_answer_correct","[0.42125657709107767, 0.5787434229089222]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","3","probe_model_answer_correct","[0.3903466070372221, 0.6096533929627778]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","4","probe_model_answer_correct","[0.5325951312845457, 0.4674048687154542]","0","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","5","probe_model_answer_correct","[0.5955315334333527, 0.404468466566647]","0","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","6","probe_model_answer_correct","[0.5586019786371962, 0.44139802136280387]","0","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","7","probe_model_answer_correct","[0.4778368055849947, 0.5221631944150054]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","8","probe_model_answer_correct","[0.4932112817888755, 0.5067887182111246]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","9","probe_model_answer_correct","[0.49681697226906235, 0.5031830277309377]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","10","probe_model_answer_correct","[0.49274933798818754, 0.5072506620118126]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","11","probe_model_answer_correct","[0.4891643014761535, 0.5108356985238465]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","12","probe_model_answer_correct","[0.48192714163837697, 0.5180728583616231]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","13","probe_model_answer_correct","[0.5560972736463966, 0.4439027263536034]","0","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","14","probe_model_answer_correct","[0.47626274308397004, 0.5237372569160301]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","15","probe_model_answer_correct","[0.5569982752733595, 0.44300172472664046]","0","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","16","probe_model_answer_correct","[0.4848372972707351, 0.5151627027292648]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","17","probe_model_answer_correct","[0.4469582048216207, 0.5530417951783794]","1","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
"1","0","18","probe_model_answer_correct","[0.5619355690357004, 0.4380644309642995]","0","Okay, so I have this question about the atrioventricular bundle and I need to figure out which statement is correct. Let me start by recalling what I know about the heart and its electrical systems.

"
